	Cluster1	Cluster2	Cluster3	Cluster4
Freelance	946	131	128	85
Empl	4203	834	698	373
Unempl	650	137	85	47
Others	4703	253	114	118
Student	506	513	262	52
SingleH	1672	913	563	158
SingleI	1582	195	118	76
Couple0-18	3722	508	462	303
Couple18+	2020	140	88	79
Couple++	2000	110	55	59
HPrCap	4612	910	602	309
H100+	894	123	117	66
H50-100	742	134	74	43
H10-50	2547	416	299	149
H<10	2201	283	194	108
HH1-2	4092	410	278	185
HH3-4	5464	1145	798	388
HH4+	1439	311	209	101
A<25	938	717	400	94
A25-34	1537	444	372	167
A35-44	2029	297	266	180
A45-54	1909	187	161	130
Age54+	4581	223	87	103
Female	5989	873	556	321
Male	5008	994	730	353
Edu1	9585	1491	973	505
Edu2	680	197	143	63
Edu3	731	178	170	107
