	Cluster1	Cluster2	Cluster3	Cluster4
FMconvN	11012	1874	1250	655
FMconvY	29	0	41	21
FMcheapN	10901	1866	1198	624
FMcheapY	95	1	88	49
DLDconvN	10890	1184	891	665
DLDconvY	106	683	394	9
CPconvN	10954	1694	1172	671
CPconvY	42	173	113	2
DLDfastN	10939	1432	1053	668
DLDfastY	56	435	232	6
CPfastN	10976	1784	1240	674
CPfastY	19	83	45	1
DLDcheapN	10861	980	815	666
DLDcheapY	136	886	471	8
CPcheapN	10929	1611	1108	670
CPcheapY	66	255	177	4
DLDtrackN	10978	1704	1186	670
DLDtrackY	17	163	100	3
CPfriendY	444	289	197	32
CPfriendN	10552	1577	1089	642
DldY	255	702	372	29
DldN	10740	1165	913	645
ExpY	4780	1249	908	446
ExpN	6216	617	378	228
RnaY	639	36	26	25
RnaN	10356	1830	1260	648
NointerestY	1494	62	15	18
NointerestN	9501	1805	1270	656
NotimeY	801	39	35	45
NotimeN	10196	1827	1250	630
RtvY	2964	183	103	85
RtvN	8032	1684	1183	589
RotherY	1970	155	144	130
RotherN	9025	1712	1142	544
