	Cluster1	Cluster2	Cluster3	Cluster4
R_d	5733	1063	840	445
R_w	1833	313	199	98
R_m	818	139	76	37
R_q	2611	352	171	94
M_d	3325	1491	1207	461
M_w	2813	632	443	235
M_m	771	122	73	39
M_q	289	39	21	15
M_y	112	17	7	3
M_r	825	95	44	22
M_n	13856	1339	777	572
T_w0	4234	385	196	138
T_w1-3	5321	1127	764	401
T_w4-6	876	213	189	77
T_w7+	564	141	138	58
P_q	1443	8	1161	655
P_y	928	298	19	2
P_2y	1731	486	31	4
P_n	6895	1075	73	14
REC_q	304	1522	964	24
REC_y	506	15	27	63
REC_2y	733	23	23	45
REC_n	9453	307	272	542
CD_SY	1253	7	1005	547
CD_cFY	114	1	102	60
CD_FdY	118	849	520	0
TR_FdldY	80	809	413	16
CD_FrY	81	325	235	0
TR_FrY	27	163	105	7
