	Cluster1	Cluster2	Cluster3	Cluster4
OC-Autonomous	946	131	128	85
OC-Employed	4203	834	698	373
OC-Unemployed	650	137	85	47
OC-H-R	4703	253	114	118
OC-Students	506	513	262	52
SingleWParents	1672	913	563	158
SingleInd	1582	195	118	76
Couple-0-18	3722	508	462	303
Couple+18	2020	140	88	79
Couple++	2000	110	55	59
PrCapital	4612	910	602	309
Cap+100	894	123	117	66
Cap50-100	742	134	74	43
Cap10-50	2547	416	299	149
Cap-10	2201	283	194	108
FamTill2	4092	410	278	185
Fam3-4	5464	1145	798	388
Fam+4	1439	311	209	101
Age<25	938	717	400	94
Age25-34	1537	444	372	167
Age35-44	2029	297	266	180
Age45-54	1909	187	161	130
Age>54	4581	223	87	103
Female	5989	873	556	321
Male	5008	994	730	353
Edu1	9585	1491	973	505
Edu2	680	197	143	63
Edu3	731	178	170	107
