	Cluster1	Cluster2	Cluster3	Cluster4
R_d	5733	1063	840	445
R_w	1833	313	199	98
R_m	818	139	76	37
R_q	2611	352	171	94
CD_d	2685	970	836	372
CD_w	2248	430	295	193
CD_m	586	82	41	28
CD_q	211	24	11	7
CD_y	75	7	2	2
CD_r	517	46	16	10
CD_n	4674	308	85	62
M_d	640	521	371	89
M_w	565	202	148	42
M_m	185	40	32	11
M_q	78	15	10	8
M_y	37	10	5	1
M_r	308	49	28	12
M_n	9182	1031	692	510
T_w0	4234	385	196	138
T_w1-3	5321	1127	764	401
T_w4-6	876	213	189	77
T_w7+	564	141	138	58
T_s0	4765	423	228	155
T_s1-3	5169	1051	746	402
T_s4-6	762	283	223	80
T_s7+	300	110	87	38
T_su0	52	5	3	2
T_su1-3	4924	1054	739	392
T_su4-6	640	220	183	71
T_su7+	234	69	64	28
P_q	1443	8	1161	655
P_y	928	298	19	2
P_2y	1731	486	31	4
P_n	6895	1075	73	14
REC_q	304	1522	964	24
REC_y	506	15	27	63
REC_2y	733	23	23	45
REC_n	9453	307	272	542
CD_StN	9743	1860	280	126
CD_StY	1253	7	1005	547
CD_cpFairN	10882	1866	1184	614
CD_cpFairY	114	1	102	60
TR_netN	10992	1867	1240	633
TR_netY	4	0	46	40
CD_FdldN	10877	1017	765	673
CD_FdldY	118	849	520	0
TR_freedldN	10917	1057	872	658
TR_freedldY	80	809	413	16
CD_FriendN	10915	1541	1051	674
CD_FriendY	81	325	235	0
TR_FriendN	10968	1703	1180	666
TR_FriendY	27	163	105	7
