	Cluster1	Cluster2	Cluster3	Cluster4					
R_d	5733	1063	840	445					
R_w	1833	313	199	98					
R_m	818	139	76	37					
R_q	2611	352	171	94					
M_d	3325	1491	1207	461					
M_w	2813	632	443	235					
M_m	771	122	73	39					
M_q	289	39	21	15					
M_y	112	17	7	3					
M_r	825	95	44	22					
M_n	13856	1339	777	572					
T_w0	4234	385	196	138					
T_w1-3	5321	1127	764	401					
T_w4-6	876	213	189	77					
T_w7+	564	141	138	58					
P_q	1443	8	1161	655					
P_y	928	298	19	2					
P_2y	1731	486	31	4					
P_n	6895	1075	73	14					
REC_q	304	1522	964	24					
REC_y	506	15	27	63					
REC_2y	733	23	23	45					
REC_n	9453	307	272	542					
CD_StN	9743	1860	280	126					
CD_StY	1253	7	1005	547					
CD_cpFairN	10882	1866	1184	614					
CD_cpFairY	114	1	102	60					
CD_FdldN	10877	1017	765	673					
CD_FdldY	118	849	520	0					
TR_freedldN	10917	1057	872	658					
TR_freedldY	80	809	413	16					
CD_FriendN	10915	1541	1051	674					
CD_FriendY	81	325	235	0					
TR_FriendN	10968	1703	1180	666					
TR_FriendY	27	163	105	7					
