	Cluster1	Cluster2	Cluster3	Cluster4
FMconvNO	11012	1874	1250	655
FMconvYES	29	0	41	21
FMcheapNO	10901	1866	1198	624
FMcheapYES	95	1	88	49
DLDconvNO	10890	1184	891	665
DLDconvYES	106	683	394	9
CPconvNO	10954	1694	1172	671
CPconvYES	42	173	113	2
DLDfastNO	10939	1432	1053	668
DLDfastYES	56	435	232	6
CPfastNO	10976	1784	1240	674
CPfastYES	19	83	45	1
DLDcheapNO	10861	980	815	666
DLDcheapYES	136	886	471	8
CPcheapNO	10929	1611	1108	670
CPcheapYES	66	255	177	4
DLDtrackNO	10978	1704	1186	670
DLDtrackYES	17	163	100	3
CFFriendY	444	289	197	32
CFFriendN	10552	1577	1089	642
DownloadY	255	702	372	29
DownloadN	10740	1165	913	645
ExpensiveY	4780	1249	908	446
ExpensiveN	6216	617	378	228
NotUDYes	639	36	26	25
NotUDNo	10356	1830	1260	648
LowInterstY	1494	62	15	18
LowInterstN	9501	1805	1270	656
NoTimeYes	801	39	35	45
NoTimeNo	10196	1827	1250	630
LRadioYes	2964	183	103	85
LRadioNo	8032	1684	1183	589
ROtherY	1970	155	144	130
ROtherN	9025	1712	1142	544
