

Old label		New label		Description
glisten_chid		Children		listens to children's’ songs
glisten_solo		Songwriter		Songwriter
glisten_ballad		Ballands		Melodic songs
glisten_flamenco	Flamenco		Flamenco
glisten_newflamenco	NewFlamenco		New flamenco
glisten_OSfolklore	Folk.other		Other spanish folk music
glisten_Fpoprock	PopRock	 		Foreign PopRock
glisten_Spoprock	Spanish.Pop.Rock	Spanish proprock
glisten_Lpoprock	Latino.Pop.Rock		Latino poprock
glisten_blues		Blues			Blues
glisten_jazz		Jazz			Jazz
glisten_wmusic		World			World Music
glisten_reggae		Reggae			Reggae
glisten_rap		Rap			Rap
glisten_electr		Tecno			Electronic, tecno, 
glisten_hardrock	Hardrock		Hardrock
glisten_house		House			House
glisten_classic		Classic			Classic
glisten_lirica		Lyrical			Lyrical music
glisten_opera		Opera			pera
glisten_zar		Operetta		Operetta

